show_title,weekly_hours_viewed,month_of_year,year,category,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,directors_name,date_temp,quarter,quart_years
The Cook of Castamar,68290000,August,2021,TV,tt12626014,tvSeries,The Cook of Castamar,La cocinera de Castamar,NO,2021.0,2021,55.0,"Drama,Romance",7.4,4830.0,"nm1013662,nm0679261","Iñaki Peñafiel, Norberto López Amado",2021-08-01,3,2021-Q3
"Newly Rich, Newly Poor",68160000,August,2021,TV,tt1233451,tvSeries,"Nuevo rico, nuevo pobre","Nuevo rico, nuevo pobre",,2007.0,,,Comedy,7.2,254.0,nm0550256,Andrés Marroquín,2021-08-01,3,2021-Q3
The Good Doctor,68080000,August,2021,TV,tt16671130,tvEpisode,The Good Doctor,The Good Doctor,NO,2021.0,,29.0,"Biography,Documentary",,,,,2021-08-01,3,2021-Q3
Virgin River,60380000,August,2021,TV,tt9077530,tvSeries,Virgin River,Virgin River,NO,2019.0,,44.0,"Drama,Romance",7.4,49184.0,"nm0939869,nm0586539,nm0367523,nm0593618,nm0001513,nm0877617,nm0222668,nm2240418,nm3345300,nm2085189","Tim Matheson, Siobhan Devine, Gail Harvey, Andy Mikita, Monika Mitchell, Jann Turner, Martin Wood, Felipe Rodriguez, Nimisha Mukerji, Jem Garrard",2021-08-01,3,2021-Q3
Control Z,58660000,August,2021,TV,tt12433294,tvEpisode,Control Z,Control Z,NO,2021.0,,,"Drama,Thriller",7.7,127.0,nm1448814,Alejandro Lozano,2021-08-01,3,2021-Q3
Carrossel,54260000,August,2021,TV,tt12048742,short,Carrossel,Carrossel,NO,2020.0,,15.0,"Documentary,Short",,,nm10632829,Pedro Gabriel Miziara,2021-08-01,3,2021-Q3
Clickbait,51280000,August,2021,TV,tt22506048,tvSeries,Clickbait,Clickbait,NO,2022.0,,15.0,Comedy,,,nm0709676,Robert Randall,2021-08-01,3,2021-Q3
Money Heist,593220000,September,2021,TV,tt6468322,tvSeries,Money Heist,La casa de papel,NO,2017.0,2021,70.0,"Action,Crime,Drama",8.2,511525.0,"nm2912775,nm2338464,nm1840195,nm1171596,nm0704173,nm0900251,nm3691012","Javier Quintas, Miguel Ángel Vivas, Alejandro Bazzano, Koldo Serra, Alex Rodrigo, Jesús Colmenar, Albert Pintó",2021-09-01,3,2021-Q3
Squid Game,511920000,September,2021,TV,tt22185314,tvEpisode,Squid Game,Squid Game,NO,2022.0,,5.0,"Action,Adventure,Animation",8.4,5.0,nm14054148,Kelvin Kibuuka,2021-09-01,3,2021-Q3
Sex Education,350480000,September,2021,TV,tt11483716,tvEpisode,Sex Education,Sex Education,NO,2019.0,,,Comedy,,,nm8555597,Blake Skuse,2021-09-01,3,2021-Q3
Lucifer,269310000,September,2021,TV,tt11912564,tvEpisode,Lucifer,Lucifer,NO,2020.0,,42.0,Crime,6.9,8.0,,,2021-09-01,3,2021-Q3
Clickbait,188130000,September,2021,TV,tt22506048,tvSeries,Clickbait,Clickbait,NO,2022.0,,15.0,Comedy,,,nm0709676,Robert Randall,2021-09-01,3,2021-Q3
Good Girls,111150000,September,2021,TV,tt27897191,tvSeries,Good Girls,Good Girls,NO,2022.0,,,Drama,,,nm0348485,Pradeep Gupta,2021-09-01,3,2021-Q3
Turning Point: 9/11 and the War on Terror,80680000,September,2021,TV,tt15260794,tvMiniSeries,Turning Point: 9/11 and the War on Terror,Turning Point: 9/11 and the War on Terror,NO,2021.0,2021,312.0,"Documentary,History,War",7.9,10767.0,nm0460534,Brian Knappenberger,2021-09-01,3,2021-Q3
Hometown Cha-Cha-Cha,66440000,September,2021,TV,tt14518756,tvSeries,Hometown Cha-Cha-Cha,Gaet-na-eul cha-cha-cha,NO,2021.0,,70.0,"Comedy,Drama,Romance",8.4,17605.0,nm6563433,Je Won Yu,2021-09-01,3,2021-Q3
"Newly Rich, Newly Poor",39180000,September,2021,TV,tt1233451,tvSeries,"Nuevo rico, nuevo pobre","Nuevo rico, nuevo pobre",,2007.0,,,Comedy,7.2,254.0,nm0550256,Andrés Marroquín,2021-09-01,3,2021-Q3
Manifest,37130000,September,2021,TV,tt22768182,short,Manifest,Manifest,NO,2022.0,,11.0,"Comedy,Short",,,nm8640512,Raquelle Wallace,2021-09-01,3,2021-Q3
Sharkdog,33770000,September,2021,TV,tt12211696,tvSeries,Sharkdog,Sharkdog,NO,2021.0,,7.0,"Adventure,Animation,Comedy",6.1,221.0,nm9411363,S' Cephas,2021-09-01,3,2021-Q3
Squid Game,1481200000,October,2021,TV,tt22185314,tvEpisode,Squid Game,Squid Game,NO,2022.0,,5.0,"Action,Adventure,Animation",8.4,5.0,nm14054148,Kelvin Kibuuka,2021-10-01,4,2021-Q4
You,553820000,October,2021,TV,tt27708728,short,You,You,NO,2023.0,,7.0,"Drama,Short",,,nm14185638,Ozzie Evans,2021-10-01,4,2021-Q4
Maid,492620000,October,2021,TV,tt23773946,short,Maid,Camarera de Piso,NO,2022.0,,12.0,Short,6.3,38.0,nm0551506,Lucrecia Martel,2021-10-01,4,2021-Q4
Sex Education,210880000,October,2021,TV,tt11483716,tvEpisode,Sex Education,Sex Education,NO,2019.0,,,Comedy,,,nm8555597,Blake Skuse,2021-10-01,4,2021-Q4
My Name,164890000,October,2021,TV,tt19264904,tvEpisode,My Name,My Name,NO,2022.0,,,"Action,Animation,Mystery",9.3,98.0,,,2021-10-01,4,2021-Q4
The Five Juanas,156360000,October,2021,TV,tt15377930,tvSeries,The Five Juanas,La Venganza de las Juanas,NO,2021.0,,,"Crime,Drama,Horror",6.9,2116.0,"nm2904941,nm5460485,nm6322835","Pepe Castro, Rod Ugalde De Haene, Carlos Cock",2021-10-01,4,2021-Q4
Hometown Cha-Cha-Cha,149090000,October,2021,TV,tt14518756,tvSeries,Hometown Cha-Cha-Cha,Gaet-na-eul cha-cha-cha,NO,2021.0,,70.0,"Comedy,Drama,Romance",8.4,17605.0,nm6563433,Je Won Yu,2021-10-01,4,2021-Q4
Locke & Key,132320000,October,2021,TV,tt11718586,tvEpisode,Locke & Key,Locke & Key,NO,2020.0,,,Talk-Show,7.4,49.0,,,2021-10-01,4,2021-Q4
Midnight Mass,109080000,October,2021,TV,tt15473632,tvEpisode,Midnight Mass,Midnight Mass,NO,2021.0,,,Talk-Show,7.1,41.0,,,2021-10-01,4,2021-Q4
The Chestnut Man,104210000,October,2021,TV,tt10834220,tvSeries,The Chestnut Man,The Chestnut Man,NO,2021.0,,50.0,"Crime,Drama,Mystery",7.7,51581.0,"nm0054504,nm1400437","Kasper Barfoed, Mikkel Serup",2021-10-01,4,2021-Q4
On My Block,80880000,October,2021,TV,tt11891006,tvEpisode,On My Block,On My Block,NO,2020.0,,,Talk-Show,7.1,27.0,,,2021-10-01,4,2021-Q4
You,211170000,November,2021,TV,tt27708728,short,You,You,NO,2023.0,,7.0,"Drama,Short",,,nm14185638,Ozzie Evans,2021-11-01,4,2021-Q4
Squid Game,163930000,November,2021,TV,tt22185314,tvEpisode,Squid Game,Squid Game,NO,2022.0,,5.0,"Action,Adventure,Animation",8.4,5.0,nm14054148,Kelvin Kibuuka,2021-11-01,4,2021-Q4
Narcos: Mexico,138980000,November,2021,TV,tt8714904,tvSeries,Narcos: Mexico,Narcos: México,NO,2018.0,2021,50.0,"Crime,Drama",8.4,90195.0,"nm1223381,nm1661334,nm2091911,nm2129610,nm1888700,nm0609944,nm2004888,nm1166781","Wagner Moura, Luis Ortega, Andrés Baiz, Amat Escalante, Marcela Said, Alejandra Márquez Abella, Alonso Ruizpalacios, Josef Kubota Wladyka",2021-11-01,4,2021-Q4
The Queen of Flow,130940000,November,2021,TV,tt8560918,tvSeries,The Queen of Flow,La reina del flow,NO,2018.0,2021,60.0,"Drama,Music",7.7,1475.0,"nm8154805,nm12415333,nm2160742,nm0482413","Rodrigo Lalinde, Andres Lopez Pacha, Liliana Bocanegra, Harold Ariza Cortes",2021-11-01,4,2021-Q4
Maid,115180000,November,2021,TV,tt23773946,short,Maid,Camarera de Piso,NO,2022.0,,12.0,Short,6.3,38.0,nm0551506,Lucrecia Martel,2021-11-01,4,2021-Q4
Hellbound,111000000,November,2021,TV,tt15808296,short,Hellbound,Hellbound,NO,2022.0,,,"Horror,Short",,,nm13078377,David Watkins,2021-11-01,4,2021-Q4
Arcane,102250000,November,2021,TV,tt18069180,tvEpisode,Arcane,Arcane,NO,2022.0,,,Comedy,6.0,22.0,nm2302136,Max Dionne,2021-11-01,4,2021-Q4
Locke & Key,79310000,November,2021,TV,tt11718586,tvEpisode,Locke & Key,Locke & Key,NO,2020.0,,,Talk-Show,7.4,49.0,,,2021-11-01,4,2021-Q4
Dynasty,78690000,November,2021,TV,tt21817594,tvEpisode,Dynasty,Dynasty,NO,2022.0,,,"Biography,Documentary,Drama",,,,,2021-11-01,4,2021-Q4
Cowboy Bebop,58580000,November,2021,TV,tt1267295,tvSeries,Cowboy Bebop,Cowboy Bebop,NO,2021.0,2021,58.0,"Action,Adventure,Comedy",6.7,42597.0,"nm3421685,nm0003150","Michael Katleman, Alex Garcia Lopez",2021-11-01,4,2021-Q4
The King's Affection,57670000,November,2021,TV,tt14609428,tvSeries,The King's Affection,Yeonmo,NO,2021.0,,,"Drama,Romance",8.0,5037.0,nm5866933,Hyun Wook Song,2021-11-01,4,2021-Q4
Money Heist,466980000,December,2021,TV,tt6468322,tvSeries,Money Heist,La casa de papel,NO,2017.0,2021,70.0,"Action,Crime,Drama",8.2,511525.0,"nm2912775,nm2338464,nm1840195,nm1171596,nm0704173,nm0900251,nm3691012","Javier Quintas, Miguel Ángel Vivas, Alejandro Bazzano, Koldo Serra, Alex Rodrigo, Jesús Colmenar, Albert Pintó",2021-12-01,4,2021-Q4
The Witcher,434920000,December,2021,TV,tt28248176,tvEpisode,The Witcher,The Witcher,NO,2023.0,,,Talk-Show,6.7,19.0,,,2021-12-01,4,2021-Q4
The Queen of Flow,233250000,December,2021,TV,tt8560918,tvSeries,The Queen of Flow,La reina del flow,NO,2018.0,2021,60.0,"Drama,Music",7.7,1475.0,"nm8154805,nm12415333,nm2160742,nm0482413","Rodrigo Lalinde, Andres Lopez Pacha, Liliana Bocanegra, Harold Ariza Cortes",2021-12-01,4,2021-Q4
Lost in Space,185180000,December,2021,TV,tt15881924,tvEpisode,Lost in Space,Lost in Space,NO,2021.0,,,Talk-Show,,,nm0021515,Cie Allman,2021-12-01,4,2021-Q4
Emily in Paris,125680000,December,2021,TV,tt16954522,tvEpisode,Emily in Paris,Emily in Paris,NO,2021.0,,,Talk-Show,,,nm4910154,Alex Beatty,2021-12-01,4,2021-Q4
Titans,72710000,December,2021,TV,tt27651229,tvEpisode,Titans,Titans,NO,2023.0,,,Horror,,,nm10115388,Aaron Carlson,2021-12-01,4,2021-Q4
Squid Game,69900000,December,2021,TV,tt22185314,tvEpisode,Squid Game,Squid Game,NO,2022.0,,5.0,"Action,Adventure,Animation",8.4,5.0,nm14054148,Kelvin Kibuuka,2021-12-01,4,2021-Q4
The King's Affection,64180000,December,2021,TV,tt14609428,tvSeries,The King's Affection,Yeonmo,NO,2021.0,,,"Drama,Romance",8.0,5037.0,nm5866933,Hyun Wook Song,2021-12-01,4,2021-Q4
Maid,47710000,December,2021,TV,tt23773946,short,Maid,Camarera de Piso,NO,2022.0,,12.0,Short,6.3,38.0,nm0551506,Lucrecia Martel,2021-12-01,4,2021-Q4
Carinha de Anjo,43660000,December,2021,TV,tt6267820,tvSeries,Carinha de Anjo,Carinha de Anjo,NO,2016.0,2018,,"Family,Musical",5.6,116.0,"nm4128250,nm8599753,nm4187675,nm5154320,nm5190729","Vanessa Arruda, Roberto Menezes, Mário Moraes, Ricardo Mantoanelli, João Batista",2021-12-01,4,2021-Q4
True Story,41970000,December,2021,TV,tt14494902,tvSeries,True Story,True Story,NO,2021.0,,13.0,"Drama,Short",8.6,19.0,nm6678217,Matthew Law,2021-12-01,4,2021-Q4
Café con aroma de mujer,384170000,January,2022,TV,tt0216459,tvSeries,Café con aroma de mujer,Café con aroma de mujer,NO,1993.0,,60.0,"Drama,Romance",8.4,695.0,nm0845142,Pepe Sánchez,2022-01-01,1,2022-Q1
Cobra Kai,383640000,January,2022,TV,tt21839618,tvEpisode,Cobra Kai,Cobra Kai,NO,2022.0,,,"Game-Show,Reality-TV",7.2,48.0,,,2022-01-01,1,2022-Q1
The Witcher,298580000,January,2022,TV,tt28248176,tvEpisode,The Witcher,The Witcher,NO,2023.0,,,Talk-Show,6.7,19.0,,,2022-01-01,1,2022-Q1
Ozark,274880000,January,2022,TV,tt5071412,tvSeries,Ozark,Ozark,NO,2017.0,2022,60.0,"Crime,Drama,Thriller",8.5,334775.0,"nm0000867,nm0008971,nm0475578,nm5831383,nm0076997,nm0001473,nm1435062,nm0000705,nm1032608,nm0755261,nm0002399,nm0382651","Robin Wright, Jason Bateman, Laura Linney, Alik Sakharov, Phil Abraham, Andrew Bernstein, Melissa Hickey, Ellen Kuras, Daniel Sackheim, Ben Semanoff, Cherien Dabis, Amanda Marsalis",2022-01-01,1,2022-Q1
Emily in Paris,215950000,January,2022,TV,tt16954522,tvEpisode,Emily in Paris,Emily in Paris,NO,2021.0,,,Talk-Show,,,nm4910154,Alex Beatty,2022-01-01,1,2022-Q1
Stay Close,203170000,January,2022,TV,tt2201227,tvMiniSeries,Stay Close,Stay Close,NO,2021.0,2021,375.0,"Crime,Drama,Mystery",6.9,34544.0,"nm1637821,nm1202909","Lindy Heymann, Daniel O'Hara",2022-01-01,1,2022-Q1
The Queen of Flow,142450000,January,2022,TV,tt8560918,tvSeries,The Queen of Flow,La reina del flow,NO,2018.0,2021,60.0,"Drama,Music",7.7,1475.0,"nm8154805,nm12415333,nm2160742,nm0482413","Rodrigo Lalinde, Andres Lopez Pacha, Liliana Bocanegra, Harold Ariza Cortes",2022-01-01,1,2022-Q1
Archive 81,129470000,January,2022,TV,tt13365348,tvSeries,Archive 81,Archive 81,NO,2022.0,2022,60.0,"Drama,Horror,Mystery",7.3,56372.0,"nm3275942,nm2223783,nm1918140,nm1823264","Aaron Moorhead, Justin Benson, Haifaa Al-Mansour, Rebecca Thomas",2022-01-01,1,2022-Q1
All of Us Are Dead,124790000,January,2022,TV,tt14169960,tvSeries,All of Us Are Dead,Ji-geum u-ri hak-gyo-neun,NO,2022.0,,60.0,"Action,Drama,Fantasy",7.5,61088.0,"nm12372685,nm2031561","Kim Nam-Soo, J.Q. Lee",2022-01-01,1,2022-Q1
Manifest,93850000,January,2022,TV,tt22768182,short,Manifest,Manifest,NO,2022.0,,11.0,"Comedy,Short",,,nm8640512,Raquelle Wallace,2022-01-01,1,2022-Q1
Our Beloved Summer,90970000,January,2022,TV,tt16345754,tvEpisode,Our Beloved Summer,Our Beloved Summer,NO,2022.0,,,"Drama,Romance",8.0,161.0,nm12748733,Kim Yoon-jin,2022-01-01,1,2022-Q1
All of Us Are Dead,450460000,February,2022,TV,tt14169960,tvSeries,All of Us Are Dead,Ji-geum u-ri hak-gyo-neun,NO,2022.0,,60.0,"Action,Drama,Fantasy",7.5,61088.0,"nm12372685,nm2031561","Kim Nam-Soo, J.Q. Lee",2022-02-01,1,2022-Q1
Inventing Anna,404080000,February,2022,TV,tt8740976,tvMiniSeries,Inventing Anna,Inventing Anna,NO,2022.0,2022,65.0,Drama,6.8,75929.0,"nm0291205,nm0475578,nm1971220,nm0894225,nm0902939","David Frankel, Ellen Kuras, Tom Verica, Daisy von Scherler Mayer, Nzingha Stewart",2022-02-01,1,2022-Q1
Dark Desire,192540000,February,2022,TV,tt27664463,tvEpisode,Dark Desire,Dark Desire,NO,2023.0,,,Drama,,,nm8061991,Adeola Osunkojo,2022-02-01,1,2022-Q1
Café con aroma de mujer,189990000,February,2022,TV,tt0216459,tvSeries,Café con aroma de mujer,Café con aroma de mujer,NO,1993.0,,60.0,"Drama,Romance",8.4,695.0,nm0845142,Pepe Sánchez,2022-02-01,1,2022-Q1
Raising Dion,172870000,February,2022,TV,tt7826108,tvSeries,Raising Dion,Raising Dion,NO,2019.0,2022,50.0,"Drama,Sci-Fi",7.1,16178.0,"nm0542960,nm5310164,nm0056006,nm0325290,nm0177512,nm0335337,nm3768241","Neema Barnette, Janice Cooke, Rachel Goldberg, Darren Grant, Seith Mann, Bola Ogun, Dennis Liu",2022-02-01,1,2022-Q1
Sweet Magnolias,171160000,February,2022,TV,tt9077540,tvSeries,Sweet Magnolias,Sweet Magnolias,NO,2020.0,,,"Drama,Romance",7.3,23564.0,"nm0118665,nm0068953,nm0632598,nm0005559,nm1062017,nm0932112,nm1707540,nm2022694","Kelli Williams, Mary Lou Belli, Norman Buckley, Laura Nisbet-Peters, Mykelti Williamson, Yangzom Brauen, Joy Lane, Lauren Petzke",2022-02-01,1,2022-Q1
Ozark,154750000,February,2022,TV,tt5071412,tvSeries,Ozark,Ozark,NO,2017.0,2022,60.0,"Crime,Drama,Thriller",8.5,334775.0,"nm0000867,nm0008971,nm0475578,nm5831383,nm0076997,nm0001473,nm1435062,nm0000705,nm1032608,nm0755261,nm0002399,nm0382651","Robin Wright, Jason Bateman, Laura Linney, Alik Sakharov, Phil Abraham, Andrew Bernstein, Melissa Hickey, Ellen Kuras, Daniel Sackheim, Ben Semanoff, Cherien Dabis, Amanda Marsalis",2022-02-01,1,2022-Q1
Love Is Blind,134340000,February,2022,TV,tt22029218,tvEpisode,Love Is Blind,Love Is Blind,NO,2022.0,,,"Action,Crime,Drama",7.7,313.0,nm0143984,Jon Cassar,2022-02-01,1,2022-Q1
Toy Boy,104840000,February,2022,TV,tt16228004,tvEpisode,Toy Boy,Toy Boy,NO,2021.0,,,Crime,,,nm3203063,Róbert Sveda,2022-02-01,1,2022-Q1
The Woman in the House Across the Street from the Girl in the Window,93540000,February,2022,TV,tt13315324,tvMiniSeries,The Woman in the House Across the Street from the Girl in the Window,The Woman in the House Across the Street from the Girl in the Window,NO,2022.0,2022,208.0,"Comedy,Crime,Drama",6.4,51378.0,nm0499724,Michael Lehmann,2022-02-01,1,2022-Q1
Vikings: Valhalla,80560000,February,2022,TV,tt11311302,tvSeries,Vikings: Valhalla,Vikings: Valhalla,NO,2022.0,,51.0,"Action,Adventure,Drama",7.3,53740.0,"nm0703854,nm0292468,nm1908892,nm0175810,nm1012772,nm1573573,nm0593618,nm0649117","Emer Conroy, David Frazee, Monika Mitchell, Niels Arden Oplev, Hannah Quinn, Ciaran Donnelly, Jan Matthys, Steve Saint Leger",2022-02-01,1,2022-Q1
Bridgerton,225300000,March,2022,TV,tt13900198,tvEpisode,Bridgerton,Bridgerton,NO,2021.0,,,Talk-Show,4.3,46.0,"nm1367063,nm4371747","Joe Guidry, Jon Mackey",2022-03-01,1,2022-Q1
PIECES OF HER,211250000,March,2022,TV,tt9170236,tvSeries,Pieces of Her,Pieces of Her	,,2022.0,2022.0,52.0,"Crime,Drama,Mystery",6.3,30577.0,nm0819083,Minkie Spiro,2022-03-01,1,2022-Q1
Inventing Anna,197510000,March,2022,TV,tt8740976,tvMiniSeries,Inventing Anna,Inventing Anna,NO,2022.0,2022,65.0,Drama,6.8,75929.0,"nm0291205,nm0475578,nm1971220,nm0894225,nm0902939","David Frankel, Ellen Kuras, Tom Verica, Daisy von Scherler Mayer, Nzingha Stewart",2022-03-01,1,2022-Q1
Vikings: Valhalla,174940000,March,2022,TV,tt11311302,tvSeries,Vikings: Valhalla,Vikings: Valhalla,NO,2022.0,,51.0,"Action,Adventure,Drama",7.3,53740.0,"nm0703854,nm0292468,nm1908892,nm0175810,nm1012772,nm1573573,nm0593618,nm0649117","Emer Conroy, David Frazee, Monika Mitchell, Niels Arden Oplev, Hannah Quinn, Ciaran Donnelly, Jan Matthys, Steve Saint Leger",2022-03-01,1,2022-Q1
The Last Kingdom,157490000,March,2022,TV,tt6967076,tvEpisode,The Last Kingdom,The Last Kingdom,NO,2016.0,,,"Documentary,History",8.3,12.0,nm9028208,Ori Shin,2022-03-01,1,2022-Q1
Juvenile Justice,101600000,March,2022,TV,tt15553922,tvSeries,Juvenile Justice,Juvenile Justice,NO,2022.0,2022,60.0,"Crime,Drama",7.9,4738.0,nm3553422,Jong-Chan Hong,2022-03-01,1,2022-Q1
Café con aroma de mujer,89080000,March,2022,TV,tt0216459,tvSeries,Café con aroma de mujer,Café con aroma de mujer,NO,1993.0,,60.0,"Drama,Romance",8.4,695.0,nm0845142,Pepe Sánchez,2022-03-01,1,2022-Q1
Worst Roommate Ever,78670000,March,2022,TV,tt8323702,tvMiniSeries,Worst Roommate Ever,Worst Roommate Ever,NO,2022.0,2022,236.0,"Crime,Documentary,Thriller",7.0,9656.0,nm0211398,Domini Hofmann,2022-03-01,1,2022-Q1
Twenty Five Twenty One,76020000,March,2022,TV,tt17513352,tvSeries,Twenty Five Twenty One,Twenty Five Twenty One,NO,2022.0,2022,70.0,"Drama,Romance",8.6,11648.0,"nm12365797,nm13754938","Jihyeon Jeong, Seung Ho Kim",2022-03-01,1,2022-Q1
Top Boy,71640000,March,2022,TV,tt1830379,tvSeries,Top Boy,Top Boy,NO,2011.0,2023,60.0,"Crime,Drama,Thriller",8.4,36141.0,"nm4824780,nm1312919,nm1743387,nm3594884,nm5179060,nm3232264,nm4090848,nm4804442,nm7114996","Yann Demange, Jonathan van Tulleken, Reinaldo Marcus Green, Brady Hood, Aneil Karia, Nia DaCosta, Myriam Raja, William Stefan Smith, Koby Adom",2022-03-01,1,2022-Q1
Business Proposal,70320000,March,2022,TV,tt14819828,tvSeries,Business Proposal,Business Proposal,NO,2022.0,2022,60.0,"Comedy,Drama,Romance",8.1,20084.0,nm6969263,Park Seon-ho,2022-03-01,1,2022-Q1
Bridgerton,609590000,April,2022,TV,tt13900198,tvEpisode,Bridgerton,Bridgerton,NO,2021.0,,,Talk-Show,4.3,46.0,"nm1367063,nm4371747","Joe Guidry, Jon Mackey",2022-04-01,2,2022-Q2
Elite,158370000,April,2022,TV,tt28802202,tvEpisode,Elite,Elite,NO,2023.0,,,"Documentary,Sport",,,,,2022-04-01,2,2022-Q2
The Ultimatum: Marry or Move On,131190000,April,2022,TV,tt18396952,tvSeries,The Ultimatum: Marry or Move On,The Ultimatum: Marry or Move On,NO,2022.0,,60.0,Reality-TV,5.5,2545.0,,,2022-04-01,2,2022-Q2
Business Proposal,118550000,April,2022,TV,tt14819828,tvSeries,Business Proposal,Business Proposal,NO,2022.0,2022,60.0,"Comedy,Drama,Romance",8.1,20084.0,nm6969263,Park Seon-ho,2022-04-01,2,2022-Q2
Anatomy of a Scandal,115840000,April,2022,TV,tt12748084,tvMiniSeries,Anatomy of a Scandal,Anatomy of a Scandal,NO,2022.0,2022,268.0,"Drama,Mystery,Thriller",7.0,34302.0,nm1237416,S.J. Clarkson,2022-04-01,2,2022-Q2
Twenty Five Twenty One,74160000,April,2022,TV,tt17513352,tvSeries,Twenty Five Twenty One,Twenty Five Twenty One,NO,2022.0,2022,70.0,"Drama,Romance",8.6,11648.0,"nm12365797,nm13754938","Jihyeon Jeong, Seung Ho Kim",2022-04-01,2,2022-Q2
The Marked Heart,68040000,April,2022,TV,tt18974572,tvSeries,The Marked Heart,Pálpito,NO,2022.0,,45.0,"Drama,Thriller",6.5,3620.0,nm6690751,Camilo Vega,2022-04-01,2,2022-Q2
Inventing Anna,52970000,April,2022,TV,tt8740976,tvMiniSeries,Inventing Anna,Inventing Anna,NO,2022.0,2022,65.0,Drama,6.8,75929.0,"nm0291205,nm0475578,nm1971220,nm0894225,nm0902939","David Frankel, Ellen Kuras, Tom Verica, Daisy von Scherler Mayer, Nzingha Stewart",2022-04-01,2,2022-Q2
Is It Cake?,52480000,April,2022,TV,tt18314214,tvSeries,Is It Cake?,Is It Cake?,NO,2022.0,,40.0,"Game-Show,Reality-TV",5.9,3663.0,,,2022-04-01,2,2022-Q2
Café con aroma de mujer,50020000,April,2022,TV,tt0216459,tvSeries,Café con aroma de mujer,Café con aroma de mujer,NO,1993.0,,60.0,"Drama,Romance",8.4,695.0,nm0845142,Pepe Sánchez,2022-04-01,2,2022-Q2
"Yo soy Betty, la fea",42370000,April,2022,TV,tt0233127,tvSeries,"Yo soy Betty, la fea","Yo soy Betty, la fea",NO,1999.0,2001,30.0,"Comedy,Drama,Romance",8.3,3704.0,nm0722969,Mario Ribero Ferreira,2022-04-01,2,2022-Q2
Stranger Things,380830000,May,2022,TV,tt10363968,tvEpisode,Stranger Things,Stranger Things,NO,2023.0,,,Drama,,,,,2022-05-01,2,2022-Q2
Ozark,296090000,May,2022,TV,tt5071412,tvSeries,Ozark,Ozark,NO,2017.0,2022,60.0,"Crime,Drama,Thriller",8.5,334775.0,"nm0000867,nm0008971,nm0475578,nm5831383,nm0076997,nm0001473,nm1435062,nm0000705,nm1032608,nm0755261,nm0002399,nm0382651","Robin Wright, Jason Bateman, Laura Linney, Alik Sakharov, Phil Abraham, Andrew Bernstein, Melissa Hickey, Ellen Kuras, Daniel Sackheim, Ben Semanoff, Cherien Dabis, Amanda Marsalis",2022-05-01,2,2022-Q2
The Lincoln Lawyer,218000000,May,2022,TV,tt13833978,tvSeries,The Lincoln Lawyer,The Lincoln Lawyer,NO,2022.0,,60.0,"Crime,Drama,Mystery",7.7,59729.0,"nm0343622,nm3311110,nm0002704,nm2451007,nm0624423,nm1032600,nm0825630,nm0940668,nm0295107,nm0004554,nm0401960","Bill D'Elia, Ben Hernandez Bray, Liz Friedlander, David Grossman, Ted Humphrey, Antonio Negret, Shana Stein, Kate Woods, Rob Seidenglanz, Erin Feeley, Alonso Alvarez",2022-05-01,2,2022-Q2
The Marked Heart,194840000,May,2022,TV,tt18974572,tvSeries,The Marked Heart,Pálpito,NO,2022.0,,45.0,"Drama,Thriller",6.5,3620.0,nm6690751,Camilo Vega,2022-05-01,2,2022-Q2
Welcome to Eden,131310000,May,2022,TV,tt13457822,tvSeries,Welcome to Eden,Bienvenidos a Edén,NO,2022.0,2023,40.0,"Action,Drama,Sci-Fi",5.6,7247.0,"nm2038223,nm0280669,nm1882666,nm1662715","Menna Fité, Juanma R. Pachón, Denis Rovira van Boekholt, Daniel Benmayor",2022-05-01,2,2022-Q2
Who Killed Sara?,119010000,May,2022,TV,tt11937816,tvSeries,Who Killed Sara?,¿Quién Mató a Sara?,NO,2021.0,2022,40.0,"Crime,Drama,Mystery",6.4,15679.0,"nm1954501,nm1732695,nm1319852","Alfonso Pineda Ulloa, Bernardo De la Rosa Villarreal, David Ruiz",2022-05-01,2,2022-Q2
Bridgerton,104130000,May,2022,TV,tt13900198,tvEpisode,Bridgerton,Bridgerton,NO,2021.0,,,Talk-Show,4.3,46.0,"nm1367063,nm4371747","Joe Guidry, Jon Mackey",2022-05-01,2,2022-Q2
Business Proposal,81970000,May,2022,TV,tt14819828,tvSeries,Business Proposal,Business Proposal,NO,2022.0,2022,60.0,"Comedy,Drama,Romance",8.1,20084.0,nm6969263,Park Seon-ho,2022-05-01,2,2022-Q2
Wrong Side of the Tracks,81820000,May,2022,TV,tt13980362,tvSeries,Wrong Side of the Tracks,Entrevías,NO,2021.0,,79.0,"Action,Adventure,Crime",6.9,4211.0,"nm0580319,nm0749650,nm0274606,nm0647099","Oriol Ferrer, Iñaki Mercero, Luis Oliveros, Alberto Ruiz Rojo",2022-05-01,2,2022-Q2
Selling Sunset,62580000,May,2022,TV,tt9817298,tvSeries,Selling Sunset,Selling Sunset,NO,2019.0,,30.0,Reality-TV,6.6,7561.0,,,2022-05-01,2,2022-Q2
Anatomy of a Scandal,55180000,May,2022,TV,tt12748084,tvMiniSeries,Anatomy of a Scandal,Anatomy of a Scandal,NO,2022.0,2022,268.0,"Drama,Mystery,Thriller",7.0,34302.0,nm1237416,S.J. Clarkson,2022-05-01,2,2022-Q2
